,$R_0$,$k$,$\sigma$,$\gamma_{shape}$,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,Undirected_final_size_estimation
15,0.9609375,0.0169525146484375,12.3515625,3.2578125,2.0,2.0,2.0,3.0,5.0,6.0,10.0,12.0,15.0,17.0,19.0,24.0,28.0,29.0,30.0,34.0,39.0,46.0,52.0,56.0,63.0,70.0,79.0,86.0,93.0,99.0,109.0,114.0,121.0,126.0,136.0,144.0,156.0,166.0,176.0,183.0,192.0,202.0,208.0,219.0,228.0,242.0,253.0,264.0,273.0,279.0,284.0,296.0,309.0,316.0,325.0,333.0,347.0,358.0,367.0,375.0,377.0,386.0,402.0,412.0,419.0,425.0,431.0,434.0,439.0,443.0,448.0,458.0,466.0,476.0,482.0,487.0,492.0,502.0,510.0,519.0,531.0,541.0,552.0,568.0,578.0,587.0,592.0,600.0,609.0,615.0,620.0,624.0,628.0,635.0,642.0,646.0,650.0,652.0,655.0,658.0,662.0,665.0,666.0,669.0,2.450580738333485e-09
16,1.421875,0.039886474609375,12.90625,2.265625,1.0,1.0,1.0,3.0,5.0,7.0,8.0,9.0,10.0,16.0,22.0,23.0,26.0,31.0,35.0,37.0,41.0,44.0,50.0,50.0,52.0,58.0,65.0,76.0,83.0,92.0,99.0,109.0,117.0,128.0,138.0,148.0,154.0,159.0,167.0,179.0,186.0,191.0,204.0,211.0,214.0,221.0,226.0,238.0,249.0,259.0,269.0,276.0,285.0,294.0,302.0,313.0,323.0,333.0,338.0,346.0,358.0,365.0,373.0,380.0,389.0,395.0,406.0,413.0,421.0,430.0,438.0,449.0,458.0,472.0,484.0,498.0,512.0,521.0,533.0,548.0,562.0,583.0,595.0,610.0,622.0,635.0,653.0,667.0,683.0,699.0,716.0,732.0,749.0,766.0,789.0,803.0,824.0,851.0,873.0,910.0,945.0,974.0,1007.0,1035.0,0.0278296924910032
17,1.1044921875,0.0051727294921875,72.25,2.009765625,1.0,2.0,2.0,4.0,4.0,4.0,7.0,10.0,15.0,16.0,19.0,23.0,23.0,26.0,30.0,36.0,41.0,48.0,53.0,58.0,62.0,71.0,77.0,83.0,93.0,98.0,106.0,114.0,121.0,131.0,135.0,137.0,140.0,154.0,163.0,170.0,179.0,191.0,201.0,216.0,225.0,236.0,245.0,255.0,268.0,285.0,293.0,302.0,316.0,324.0,334.0,340.0,350.0,360.0,368.0,377.0,384.0,394.0,404.0,420.0,430.0,435.0,443.0,454.0,470.0,479.0,489.0,511.0,518.0,529.0,540.0,553.0,570.0,588.0,609.0,624.0,634.0,641.0,654.0,666.0,681.0,695.0,706.0,715.0,729.0,743.0,750.0,762.0,774.0,788.0,805.0,819.0,832.0,841.0,853.0,867.0,878.0,889.0,902.0,911.0,0.0010287395533129
18,1.310546875,0.09326171875,9.953125,23.546875,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,12.0,15.0,21.0,24.0,25.0,28.0,30.0,32.0,34.0,38.0,42.0,49.0,67.0,73.0,80.0,82.0,88.0,93.0,98.0,107.0,114.0,124.0,131.0,138.0,141.0,153.0,160.0,167.0,181.0,189.0,198.0,207.0,223.0,231.0,241.0,255.0,267.0,274.0,280.0,288.0,298.0,311.0,324.0,328.0,340.0,350.0,358.0,365.0,369.0,382.0,393.0,404.0,417.0,433.0,449.0,463.0,474.0,485.0,497.0,503.0,515.0,530.0,544.0,563.0,579.0,590.0,602.0,610.0,617.0,624.0,637.0,650.0,665.0,689.0,702.0,709.0,720.0,730.0,748.0,771.0,790.0,811.0,829.0,847.0,860.0,867.0,875.0,883.0,898.0,914.0,930.0,959.0,0.0506962438346993
19,2.314453125,0.0042381286621093,65.625,2.4609375,1.0,1.0,2.0,3.0,4.0,7.0,11.0,12.0,15.0,18.0,20.0,20.0,26.0,31.0,32.0,35.0,37.0,41.0,46.0,50.0,58.0,65.0,73.0,78.0,83.0,93.0,106.0,111.0,120.0,131.0,135.0,144.0,148.0,155.0,166.0,174.0,178.0,189.0,200.0,209.0,216.0,223.0,228.0,238.0,250.0,260.0,271.0,280.0,290.0,301.0,308.0,318.0,325.0,337.0,347.0,362.0,370.0,379.0,388.0,393.0,403.0,413.0,421.0,427.0,442.0,454.0,466.0,480.0,484.0,497.0,509.0,520.0,530.0,537.0,549.0,567.0,576.0,581.0,589.0,592.0,601.0,608.0,623.0,630.0,644.0,653.0,662.0,669.0,677.0,682.0,688.0,698.0,705.0,705.0,710.0,713.0,728.0,733.0,738.0,742.0,0.0064143065712795
20,1.1669921875,0.16015625,9.78125,0.59130859375,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,10.0,16.0,17.0,24.0,30.0,35.0,40.0,44.0,46.0,48.0,51.0,57.0,66.0,70.0,77.0,80.0,88.0,94.0,102.0,119.0,133.0,146.0,160.0,168.0,178.0,188.0,197.0,207.0,216.0,222.0,229.0,233.0,241.0,249.0,252.0,259.0,268.0,282.0,290.0,297.0,307.0,312.0,320.0,328.0,332.0,337.0,342.0,352.0,360.0,370.0,382.0,388.0,401.0,405.0,412.0,417.0,428.0,434.0,443.0,451.0,463.0,474.0,495.0,507.0,530.0,549.0,560.0,575.0,580.0,587.0,598.0,609.0,614.0,624.0,638.0,650.0,663.0,677.0,693.0,705.0,727.0,734.0,767.0,793.0,816.0,835.0,852.0,868.0,886.0,904.0,921.0,944.0,0.0468240566424976
21,1.3896484375,0.0235748291015625,25.375,1.9638671875,1.0,2.0,3.0,4.0,7.0,10.0,12.0,14.0,14.0,16.0,19.0,28.0,30.0,30.0,35.0,43.0,47.0,49.0,51.0,54.0,65.0,70.0,79.0,87.0,93.0,104.0,113.0,122.0,131.0,140.0,155.0,163.0,178.0,192.0,203.0,211.0,217.0,225.0,227.0,234.0,242.0,254.0,267.0,272.0,280.0,291.0,301.0,312.0,325.0,332.0,340.0,355.0,364.0,373.0,387.0,396.0,408.0,419.0,435.0,446.0,458.0,467.0,471.0,480.0,489.0,498.0,502.0,506.0,513.0,518.0,526.0,535.0,541.0,548.0,552.0,563.0,570.0,581.0,587.0,592.0,608.0,612.0,617.0,631.0,640.0,646.0,652.0,656.0,662.0,665.0,673.0,680.0,684.0,691.0,697.0,702.0,708.0,718.0,727.0,735.0,0.0153206737720749
22,1.0234375,1.5908203125,3.978515625,24.015625,1.0,1.0,2.0,2.0,2.0,3.0,7.0,10.0,11.0,16.0,17.0,20.0,21.0,28.0,33.0,36.0,41.0,45.0,52.0,56.0,62.0,71.0,74.0,78.0,83.0,93.0,100.0,106.0,114.0,123.0,129.0,143.0,149.0,155.0,166.0,174.0,180.0,184.0,193.0,205.0,215.0,224.0,231.0,244.0,253.0,261.0,271.0,282.0,285.0,291.0,303.0,316.0,322.0,331.0,338.0,346.0,355.0,359.0,371.0,380.0,383.0,388.0,399.0,406.0,409.0,415.0,434.0,448.0,455.0,465.0,483.0,495.0,506.0,526.0,541.0,557.0,568.0,590.0,609.0,620.0,633.0,649.0,667.0,682.0,698.0,713.0,740.0,754.0,763.0,788.0,810.0,817.0,831.0,851.0,870.0,889.0,904.0,921.0,949.0,968.0,0.0283252199052495
23,2.53125,0.016387939453125,48.34375,1.9208984375,1.0,1.0,3.0,3.0,4.0,8.0,11.0,14.0,15.0,17.0,19.0,21.0,22.0,25.0,30.0,34.0,41.0,45.0,48.0,52.0,59.0,63.0,73.0,78.0,83.0,89.0,95.0,106.0,119.0,125.0,138.0,146.0,152.0,156.0,166.0,174.0,183.0,189.0,197.0,204.0,211.0,225.0,235.0,246.0,258.0,274.0,288.0,293.0,304.0,316.0,320.0,328.0,336.0,343.0,356.0,368.0,378.0,387.0,392.0,406.0,412.0,420.0,434.0,446.0,451.0,465.0,477.0,487.0,496.0,501.0,512.0,519.0,529.0,541.0,551.0,559.0,574.0,590.0,602.0,608.0,617.0,627.0,634.0,644.0,653.0,660.0,672.0,682.0,691.0,702.0,705.0,709.0,721.0,728.0,736.0,747.0,759.0,772.0,788.0,793.0,0.0275028936888902
24,2.37890625,0.0054931640625,34.09375,3.1953125,1.0,2.0,4.0,6.0,6.0,7.0,7.0,8.0,12.0,15.0,17.0,20.0,22.0,24.0,29.0,36.0,40.0,46.0,52.0,56.0,62.0,71.0,76.0,83.0,88.0,99.0,105.0,113.0,124.0,132.0,145.0,167.0,175.0,186.0,195.0,203.0,213.0,219.0,235.0,247.0,255.0,263.0,269.0,278.0,293.0,302.0,312.0,316.0,325.0,332.0,342.0,358.0,370.0,383.0,391.0,404.0,414.0,427.0,432.0,443.0,451.0,462.0,472.0,485.0,494.0,503.0,513.0,524.0,535.0,545.0,558.0,568.0,582.0,587.0,593.0,606.0,616.0,626.0,634.0,639.0,648.0,660.0,672.0,682.0,694.0,706.0,720.0,741.0,755.0,768.0,789.0,813.0,831.0,861.0,884.0,903.0,939.0,966.0,1003.0,1026.0,0.0085768654811784
25,1.236328125,0.39111328125,7.95703125,7.75,1.0,1.0,1.0,1.0,2.0,6.0,9.0,12.0,15.0,16.0,18.0,22.0,23.0,25.0,31.0,36.0,40.0,44.0,48.0,50.0,54.0,64.0,69.0,78.0,88.0,96.0,101.0,112.0,119.0,128.0,135.0,141.0,149.0,154.0,162.0,167.0,170.0,184.0,190.0,200.0,210.0,218.0,231.0,240.0,250.0,259.0,274.0,286.0,300.0,306.0,314.0,324.0,335.0,352.0,363.0,374.0,382.0,391.0,402.0,413.0,420.0,432.0,444.0,455.0,463.0,472.0,483.0,497.0,513.0,518.0,526.0,534.0,551.0,564.0,572.0,580.0,585.0,595.0,602.0,610.0,621.0,638.0,655.0,671.0,684.0,701.0,727.0,750.0,773.0,789.0,807.0,830.0,845.0,872.0,896.0,919.0,940.0,967.0,988.0,1013.0,0.1289338258756358
