,$R_0$,$k$,$\sigma$,$\gamma_{shape}$,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,Undirected_final_size_estimation
0,1.720703125,0.0010261535644531,68.9375,2.59765625,1.0,1.0,3.0,4.0,5.0,7.0,14.0,16.0,18.0,18.0,22.0,26.0,29.0,34.0,37.0,42.0,43.0,45.0,53.0,58.0,65.0,70.0,76.0,82.0,87.0,95.0,107.0,112.0,129.0,137.0,153.0,166.0,171.0,182.0,192.0,206.0,214.0,222.0,231.0,238.0,243.0,249.0,255.0,272.0,279.0,292.0,307.0,320.0,329.0,338.0,346.0,355.0,363.0,369.0,377.0,387.0,396.0,404.0,414.0,420.0,429.0,441.0,451.0,462.0,468.0,479.0,484.0,492.0,500.0,509.0,517.0,531.0,536.0,546.0,560.0,572.0,582.0,587.0,591.0,603.0,611.0,619.0,633.0,639.0,644.0,649.0,656.0,665.0,671.0,677.0,687.0,692.0,699.0,702.0,709.0,720.0,727.0,730.0,735.0,744.0,0.001033383396457
1,0.98486328125,1.958984375,3.6640625,11.65625,1.0,1.0,1.0,2.0,3.0,4.0,7.0,9.0,15.0,18.0,20.0,24.0,28.0,32.0,34.0,37.0,43.0,47.0,48.0,53.0,62.0,62.0,69.0,85.0,93.0,101.0,109.0,119.0,131.0,142.0,146.0,151.0,164.0,174.0,182.0,188.0,196.0,205.0,208.0,218.0,231.0,246.0,252.0,260.0,274.0,279.0,286.0,301.0,306.0,317.0,332.0,343.0,358.0,366.0,376.0,386.0,397.0,409.0,420.0,425.0,437.0,450.0,466.0,476.0,485.0,494.0,505.0,513.0,521.0,530.0,536.0,540.0,547.0,555.0,565.0,572.0,578.0,589.0,599.0,608.0,615.0,621.0,628.0,635.0,642.0,649.0,656.0,661.0,676.0,678.0,680.0,685.0,691.0,696.0,700.0,708.0,715.0,718.0,726.0,731.0,6.485384451693221e-09
2,0.9755859375,7.4375,2.810546875,17.46875,1.0,2.0,2.0,3.0,5.0,5.0,6.0,11.0,12.0,15.0,18.0,20.0,26.0,29.0,33.0,36.0,41.0,44.0,52.0,58.0,61.0,69.0,76.0,84.0,95.0,103.0,111.0,120.0,124.0,130.0,134.0,142.0,150.0,157.0,169.0,175.0,185.0,193.0,205.0,209.0,221.0,232.0,242.0,249.0,260.0,273.0,279.0,287.0,299.0,306.0,312.0,325.0,334.0,340.0,351.0,362.0,371.0,378.0,385.0,394.0,401.0,407.0,414.0,421.0,425.0,432.0,441.0,449.0,461.0,469.0,471.0,481.0,491.0,495.0,507.0,516.0,524.0,539.0,542.0,552.0,567.0,573.0,585.0,596.0,608.0,614.0,629.0,636.0,645.0,660.0,665.0,684.0,699.0,709.0,723.0,732.0,743.0,750.0,769.0,776.0,3.913897317353587e-09
3,3.3984375,0.0004341602325439,72.3125,2.470703125,1.0,1.0,2.0,5.0,6.0,8.0,10.0,10.0,16.0,18.0,20.0,25.0,27.0,32.0,34.0,39.0,43.0,45.0,48.0,56.0,66.0,73.0,82.0,89.0,95.0,100.0,109.0,119.0,122.0,130.0,134.0,142.0,151.0,160.0,168.0,180.0,190.0,204.0,212.0,222.0,231.0,238.0,248.0,258.0,262.0,268.0,281.0,288.0,297.0,305.0,316.0,316.0,327.0,338.0,343.0,353.0,366.0,378.0,388.0,397.0,403.0,412.0,420.0,432.0,442.0,452.0,462.0,473.0,480.0,485.0,497.0,504.0,509.0,525.0,535.0,544.0,552.0,558.0,564.0,569.0,576.0,584.0,594.0,607.0,625.0,632.0,644.0,663.0,674.0,685.0,702.0,712.0,725.0,742.0,758.0,780.0,800.0,816.0,826.0,856.0,0.0009109283165931
4,1.2890625,0.10321044921875,12.546875,11.734375,1.0,1.0,1.0,1.0,2.0,3.0,4.0,9.0,12.0,17.0,18.0,20.0,28.0,33.0,36.0,39.0,42.0,44.0,53.0,56.0,60.0,66.0,70.0,83.0,90.0,95.0,103.0,110.0,120.0,127.0,130.0,133.0,140.0,147.0,157.0,166.0,176.0,184.0,199.0,205.0,213.0,224.0,237.0,254.0,268.0,281.0,293.0,306.0,314.0,318.0,329.0,336.0,340.0,351.0,358.0,368.0,378.0,385.0,396.0,407.0,417.0,430.0,442.0,451.0,458.0,468.0,479.0,490.0,500.0,511.0,515.0,521.0,534.0,550.0,563.0,585.0,596.0,606.0,618.0,622.0,631.0,637.0,645.0,653.0,662.0,676.0,685.0,691.0,701.0,710.0,719.0,735.0,746.0,755.0,763.0,770.0,781.0,799.0,817.0,837.0,0.0527370417700383
5,1.05859375,0.226806640625,7.09765625,3.98828125,1.0,2.0,3.0,4.0,4.0,7.0,9.0,13.0,18.0,18.0,19.0,22.0,25.0,30.0,35.0,38.0,42.0,45.0,48.0,53.0,58.0,66.0,73.0,80.0,87.0,95.0,106.0,121.0,129.0,131.0,141.0,148.0,159.0,169.0,179.0,190.0,200.0,206.0,214.0,222.0,231.0,241.0,248.0,261.0,273.0,279.0,286.0,296.0,300.0,307.0,320.0,326.0,331.0,340.0,352.0,359.0,369.0,379.0,381.0,391.0,402.0,408.0,417.0,423.0,428.0,436.0,444.0,451.0,456.0,467.0,476.0,484.0,494.0,508.0,524.0,534.0,540.0,546.0,554.0,561.0,567.0,577.0,591.0,598.0,609.0,620.0,628.0,635.0,651.0,664.0,674.0,683.0,693.0,710.0,719.0,731.0,749.0,765.0,781.0,800.0,0.0216944605977603
6,1.2734375,0.135498046875,6.1953125,11.71875,1.0,1.0,1.0,2.0,3.0,9.0,12.0,13.0,16.0,19.0,21.0,22.0,24.0,26.0,32.0,36.0,39.0,42.0,46.0,50.0,55.0,64.0,71.0,76.0,82.0,90.0,102.0,116.0,131.0,134.0,136.0,142.0,148.0,152.0,162.0,176.0,182.0,191.0,206.0,218.0,235.0,251.0,260.0,275.0,283.0,292.0,302.0,317.0,336.0,343.0,352.0,361.0,365.0,366.0,377.0,381.0,388.0,396.0,403.0,412.0,420.0,424.0,432.0,439.0,456.0,463.0,479.0,482.0,491.0,501.0,515.0,523.0,531.0,539.0,554.0,574.0,592.0,613.0,626.0,639.0,658.0,672.0,691.0,709.0,724.0,734.0,748.0,759.0,769.0,787.0,797.0,809.0,821.0,828.0,839.0,850.0,862.0,878.0,888.0,899.0,0.0653847006641432
7,1.13671875,0.0075645446777343,28.203125,2.75390625,1.0,2.0,3.0,4.0,4.0,7.0,9.0,11.0,12.0,15.0,19.0,22.0,28.0,33.0,35.0,41.0,45.0,47.0,51.0,58.0,62.0,67.0,73.0,81.0,89.0,95.0,106.0,121.0,126.0,136.0,145.0,149.0,157.0,164.0,168.0,175.0,185.0,192.0,195.0,205.0,217.0,236.0,244.0,260.0,271.0,284.0,289.0,305.0,314.0,322.0,344.0,353.0,358.0,367.0,373.0,383.0,393.0,401.0,411.0,420.0,430.0,445.0,449.0,461.0,477.0,488.0,493.0,508.0,517.0,525.0,528.0,535.0,543.0,552.0,556.0,570.0,581.0,585.0,592.0,599.0,604.0,610.0,622.0,625.0,633.0,638.0,645.0,653.0,660.0,668.0,675.0,684.0,691.0,703.0,710.0,722.0,731.0,739.0,754.0,758.0,0.001940240654861
8,1.427734375,0.037200927734375,17.3125,1.6923828125,3.0,3.0,5.0,7.0,9.0,13.0,15.0,16.0,18.0,19.0,21.0,25.0,26.0,29.0,30.0,35.0,39.0,43.0,49.0,55.0,65.0,72.0,80.0,87.0,94.0,103.0,114.0,117.0,125.0,134.0,137.0,141.0,151.0,156.0,168.0,177.0,186.0,195.0,205.0,219.0,232.0,241.0,249.0,256.0,262.0,276.0,289.0,300.0,315.0,329.0,338.0,344.0,357.0,366.0,381.0,389.0,397.0,408.0,418.0,427.0,439.0,448.0,458.0,469.0,482.0,494.0,505.0,518.0,533.0,546.0,557.0,566.0,577.0,586.0,597.0,614.0,628.0,641.0,654.0,662.0,677.0,689.0,707.0,717.0,727.0,747.0,759.0,775.0,787.0,803.0,815.0,831.0,848.0,865.0,874.0,884.0,895.0,906.0,922.0,935.0,0.0262205096172677
9,1.00390625,2.99609375,2.828125,16.296875,1.0,2.0,4.0,5.0,8.0,10.0,13.0,15.0,16.0,17.0,21.0,22.0,25.0,28.0,29.0,31.0,32.0,36.0,39.0,45.0,51.0,57.0,64.0,71.0,79.0,89.0,98.0,109.0,118.0,127.0,140.0,150.0,159.0,171.0,185.0,191.0,201.0,223.0,235.0,246.0,266.0,276.0,287.0,303.0,311.0,332.0,343.0,355.0,367.0,382.0,395.0,407.0,415.0,422.0,430.0,443.0,452.0,460.0,475.0,483.0,493.0,505.0,517.0,530.0,540.0,551.0,559.0,574.0,585.0,598.0,611.0,622.0,629.0,637.0,646.0,655.0,668.0,676.0,686.0,693.0,700.0,711.0,717.0,729.0,736.0,750.0,754.0,764.0,772.0,782.0,788.0,796.0,808.0,818.0,830.0,839.0,862.0,881.0,894.0,911.0,0.0058366020852769
10,3.107421875,0.0048713684082031,73.6875,1.5107421875,1.0,1.0,3.0,4.0,7.0,8.0,9.0,14.0,16.0,17.0,19.0,22.0,27.0,29.0,32.0,38.0,42.0,45.0,47.0,52.0,53.0,63.0,72.0,82.0,93.0,102.0,107.0,117.0,128.0,136.0,143.0,152.0,156.0,165.0,169.0,180.0,190.0,197.0,204.0,207.0,212.0,224.0,228.0,240.0,253.0,260.0,273.0,281.0,292.0,296.0,309.0,320.0,331.0,344.0,349.0,353.0,362.0,370.0,378.0,392.0,405.0,415.0,428.0,440.0,452.0,465.0,475.0,486.0,499.0,514.0,527.0,534.0,546.0,556.0,561.0,579.0,589.0,602.0,619.0,634.0,648.0,660.0,674.0,686.0,700.0,715.0,726.0,746.0,760.0,771.0,790.0,814.0,825.0,839.0,873.0,884.0,896.0,910.0,935.0,948.0,0.0096519631295173
11,0.94970703125,4.26171875,1.53125,21.8125,1.0,3.0,6.0,7.0,9.0,11.0,13.0,14.0,14.0,15.0,16.0,17.0,20.0,23.0,24.0,31.0,36.0,44.0,47.0,53.0,63.0,75.0,82.0,96.0,106.0,119.0,131.0,138.0,142.0,149.0,151.0,156.0,163.0,167.0,181.0,189.0,207.0,222.0,237.0,246.0,259.0,273.0,288.0,302.0,315.0,324.0,333.0,341.0,352.0,359.0,364.0,374.0,386.0,401.0,413.0,427.0,441.0,449.0,463.0,466.0,472.0,475.0,478.0,484.0,489.0,493.0,503.0,508.0,514.0,519.0,521.0,525.0,529.0,535.0,540.0,544.0,552.0,564.0,575.0,587.0,595.0,604.0,611.0,618.0,625.0,628.0,632.0,639.0,646.0,651.0,660.0,667.0,675.0,679.0,684.0,686.0,688.0,690.0,690.0,691.0,1.8333700113615239e-09
12,1.1572265625,0.324951171875,7.796875,1.060546875,2.0,5.0,5.0,7.0,7.0,9.0,12.0,13.0,14.0,16.0,16.0,17.0,18.0,20.0,21.0,28.0,31.0,36.0,45.0,55.0,59.0,71.0,78.0,88.0,95.0,104.0,111.0,118.0,122.0,134.0,146.0,162.0,172.0,183.0,189.0,198.0,212.0,218.0,225.0,236.0,248.0,256.0,262.0,272.0,282.0,286.0,299.0,304.0,319.0,334.0,345.0,355.0,366.0,371.0,385.0,392.0,405.0,411.0,424.0,437.0,448.0,457.0,464.0,473.0,480.0,492.0,506.0,511.0,524.0,535.0,545.0,560.0,570.0,585.0,591.0,610.0,626.0,635.0,643.0,656.0,665.0,688.0,705.0,717.0,728.0,742.0,751.0,773.0,787.0,815.0,839.0,862.0,888.0,918.0,943.0,963.0,990.0,1007.0,1037.0,1073.0,0.0762263034970445
13,1.22265625,0.003763198852539,47.375,3.19140625,1.0,1.0,1.0,2.0,3.0,4.0,4.0,7.0,11.0,15.0,17.0,22.0,26.0,28.0,32.0,35.0,42.0,48.0,53.0,57.0,62.0,68.0,75.0,86.0,98.0,106.0,118.0,123.0,133.0,142.0,150.0,164.0,170.0,177.0,183.0,192.0,202.0,212.0,222.0,233.0,247.0,259.0,267.0,276.0,285.0,290.0,301.0,312.0,317.0,325.0,330.0,336.0,345.0,349.0,358.0,362.0,369.0,379.0,382.0,391.0,397.0,409.0,413.0,423.0,432.0,443.0,449.0,458.0,469.0,479.0,487.0,496.0,506.0,518.0,534.0,543.0,550.0,562.0,577.0,584.0,595.0,603.0,612.0,618.0,627.0,634.0,640.0,646.0,651.0,662.0,673.0,680.0,689.0,702.0,715.0,730.0,738.0,747.0,759.0,767.0,0.0014847336682835
14,1.017578125,1.93359375,1.912109375,20.296875,1.0,4.0,4.0,6.0,6.0,7.0,9.0,13.0,15.0,19.0,21.0,26.0,30.0,32.0,36.0,43.0,46.0,51.0,53.0,58.0,62.0,68.0,70.0,75.0,80.0,87.0,97.0,105.0,119.0,128.0,141.0,152.0,164.0,173.0,183.0,192.0,202.0,209.0,216.0,226.0,238.0,254.0,262.0,274.0,280.0,294.0,301.0,311.0,319.0,328.0,338.0,342.0,350.0,357.0,367.0,373.0,382.0,387.0,394.0,401.0,411.0,426.0,438.0,451.0,468.0,482.0,495.0,502.0,513.0,520.0,525.0,530.0,536.0,541.0,543.0,556.0,559.0,567.0,577.0,594.0,600.0,608.0,619.0,628.0,639.0,648.0,657.0,664.0,673.0,679.0,687.0,690.0,696.0,699.0,704.0,706.0,708.0,708.0,708.0,708.0,0.0228650475660522
